guest_email,hotel_id,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
awolf@phillips.com,HID_000,False,BASIC,37.89,27 Dec 2020,28 Dec 2020,156.23,"993 Rebecca Landing
Jesseburgh, PA 05072",4075084747483975747
tonya44@wilkinson-wilkins.com,HID_000,False,BASIC,24.37,30 Dec 2020,31 Dec 2020,139.43,"958 Beverly Bypass
South Ronald, GA 46368",180072822063468
harriskathleen@goodwin.com,HID_000,True,DELUXE,0.0,17 Sep 2020,19 Sep 2020,403.33,"8302 Nathaniel Pike
Rileyland, TX 71613",38983476971380
kayladiaz@wallace-simmons.com,HID_000,False,BASIC,,28 Dec 2020,30 Dec 2020,140.61,"77 Massachusetts Ave
Cambridge, MA 02139",4969551998845740
paigemendoza@tran-martin.com,HID_000,True,DELUXE,0.0,05 Apr 2020,10 Apr 2020,197.41,"1234 Corporate Drive
Boston, MA 02116",3558512986488983
alexanderparker@robinson.com,HID_000,True,BASIC,0.0,18 Oct 2020,19 Oct 2020,197.76,"888 Little Stream
Lake Annmouth, ME 16402",4701079720447404938
donald84@owens-arnold.org,HID_000,True,BASIC,0.0,22 Nov 2020,24 Nov 2020,108.09,"0156 Russell Trail Apt. 291
Port Scottchester, IA 23231",6011956907055260
keithbarnes@elliott-haley.com,HID_000,False,BASIC,16.45,04 Mar 2020,08 Mar 2020,136.12,"Unit 5037 Box 8794
DPO AP 31934",4266279461142102517
petermorton@garcia.biz,HID_000,False,BASIC,19.56,06 Jan 2020,09 Jan 2020,149.23,"583 Lewis Burgs
Port Jessetown, WI 21902",4779208902549
mark93@good-ramirez.biz,HID_000,False,BASIC,15.23,22 Jan 2020,,139.44,"54238 Mcgee Crescent
Briantown, WY 72770",676384499254
andrea71@johnson-chen.com,HID_000,False,BASIC,,15 Jun 2020,17 Jun 2020,131.09,"0910 Casey Land
Tammyville, TX 36463",3576959406725080
brian51@bowman-brooks.com,HID_000,False,BASIC,37.1,23 Oct 2020,25 Oct 2020,141.36,"329 Deborah Via
Nataliehaven, MO 87399",675991525725
pwilliams@cline.com,HID_000,False,BASIC,14.55,07 Mar 2020,12 Mar 2020,139.03,"904 Hines Rue
Port Gregory, MN 66236",4092078584581
banthony@jackson.biz,HID_000,False,BASIC,4.54,12 Aug 2020,14 Aug 2020,161.73,"862 Mueller Creek Apt. 492
Whiteland, WY 55940",4483421863642
hicksdiana@carpenter.net,HID_000,True,BASIC,0.0,01 Oct 2020,03 Oct 2020,103.8,"954 Taylor Burgs
Port Steveton, OR 26243",4253047975942
stevenscharlene@anderson.com,HID_000,False,BASIC,8.15,19 Jul 2020,21 Jul 2020,134.97,"4084 Heather Locks Apt. 091
Blackwellport, GA 62060",563273068871
margaret57@rodriguez.com,HID_000,False,DELUXE,17.94,14 Jul 2020,16 Jul 2020,282.27,"8302 Nathaniel Pike
Rileyland, TX 71613",3509825543444962
leehelen@valencia.info,HID_000,False,BASIC,9.76,02 Mar 2020,07 Mar 2020,253.68,"19711 Alvarado Route
East Lori, AR 26670",3559348543878898
dayers@bennett-ponce.com,HID_000,True,SUITE,0.0,16 Jul 2020,17 Jul 2020,254.43,"8594 Brian Lake Apt. 682
East Lisafort, MT 74116",2247314498652894
gracemorales@may.info,HID_000,True,BASIC,0.0,31 May 2020,02 Jun 2020,138.28,"8302 Nathaniel Pike
Rileyland, TX 71613",2290513662982427
whitestephen@moreno-clark.com,HID_000,False,BASIC,12.87,30 May 2020,01 Jun 2020,132.53,"77 Massachusetts Ave
Cambridge, MA 02139",180065036602337
elizabeth14@harrington.net,HID_000,False,BASIC,12.31,13 Oct 2020,17 Oct 2020,133.53,"Unit 8361 Box 9968
DPO AE 57371",4670439786825211106
ericayoung@neal.com,HID_000,False,BASIC,17.7,22 May 2020,24 May 2020,133.4,"502 Grant Spring Apt. 915
Patriciaport, VA 24312",4249793726653
heidi94@lopez.com,HID_000,False,BASIC,7.56,13 Sep 2020,15 Sep 2020,138.16,"329 Deborah Via
Nataliehaven, MO 87399",4010294825813198
thomas68@harris.org,HID_000,False,BASIC,13.74,27 Jul 2020,30 Jul 2020,179.4,"3826 Rowe Mission Suite 167
Jenniferhaven, CO 17091",213108431357494
tiffany07@johnson.org,HID_000,False,BASIC,10.76,30 Nov 2020,02 Dec 2020,165.95,"1753 Anna Circles Suite 976
West Amanda, GA 44322",30213206437256
phillipsjay@pineda-bender.com,HID_000,True,BASIC,0.0,26 Aug 2020,28 Aug 2020,121.31,"1234 Corporate Drive
Boston, MA 02116",4551878586989
millerrichard@robinson.com,HID_000,True,BASIC,0.0,05 Jul 2020,06 Jul 2020,113.97,"PSC 3637, Box 6528
APO AP 00600",343863920293179
xjohnson@baird.com,HID_000,True,BASIC,0.0,08 Dec 2020,11 Dec 2020,120.15,"0215 Chase Roads Suite 951
Port Joshua, MS 80335",571167792928
daniel92@gonzalez.com,HID_000,False,BASIC,9.76,05 Nov 2020,07 Nov 2020,143.07,"5678 Office Road
San Francisco, CA 94103",4704147652368811480
ucastaneda@mitchell.com,HID_000,True,DELUXE,0.0,03 Dec 2020,04 Dec 2020,219.39,"Unit 8361 Box 9968
DPO AE 57371",4104817616762
christinesingh@pena.info,HID_000,False,BASIC,3.77,05 May 2020,07 May 2020,135.68,"4758 Parsons Camp
Lake Annettehaven, DC 78176",2255876870833937
dillonmiranda@west.net,HID_000,False,BASIC,26.47,14 Nov 2020,15 Nov 2020,144.96,"5678 Office Road
San Francisco, CA 94103",4196831074465
whitneychen@taylor.com,HID_000,False,BASIC,14.03,11 Aug 2020,16 Aug 2020,143.15,"82622 Christopher Skyway Apt. 066
Hopkinsview, SC 55350",4372475126552
mduncan@mullins.info,HID_000,False,BASIC,,11 Aug 2020,14 Aug 2020,144.06,"977 Valentine Corner
North Davidmouth, VT 07522",4484017750569544
rjackson@castillo.com,HID_000,False,BASIC,17.32,03 Oct 2020,04 Oct 2020,150.77,"Unit 8361 Box 9968
DPO AE 57371",3563866109003415
